Name,Nation,Position,Club,Age,GK Rating,DL Rating,DC Rating,DR Rating,DM Rating,ML Rating,MC Rating,MR Rating,AML Rating,AMC Rating,AMR Rating,FS Rating,TS Rating,Unique ID,Вибір
"Sahraoui, Osame",Норвегия / Марокко,AM LC,sc Heerenveen,22,32.53%,52.95%,37.66%,52.95%,51.31%,74.55%,69.00%,73.61%,77.18%,74.39%,75.35%,61.40%,52.12%,53170352,0
"Carreira, Sergio",Испания,D/WB R,Elche,22,32.11%,61.74%,54.33%,77.18%,58.15%,59.87%,58.46%,73.06%,59.87%,53.90%,72.69%,56.71%,54.40%,67263766,0
"Gumbau, Gerard",Испания,DM,Granada,28,36.87%,62.32%,72.56%,62.32%,77.18%,60.10%,76.26%,60.10%,60.10%,56.32%,60.10%,57.68%,58.01%,67207185,0
Hwang Hee-Chan,Южная Корея,"AM RL, ST",Wolves,27,31.02%,57.27%,50.93%,57.27%,55.98%,75.69%,58.64%,75.69%,77.17%,56.82%,75.69%,76.50%,74.27%,66014588,0
"Prats, Abdon",Испания,AM/F C,Mallorca,30,31.79%,56.45%,50.65%,56.45%,56.47%,61.01%,58.46%,61.01%,61.01%,69.67%,61.01%,77.16%,75.57%,67142194,0
Jean Lucas,Бразилия,DM,BAH,25,32.34%,61.89%,54.84%,61.89%,74.42%,62.26%,77.16%,75.17%,62.26%,58.74%,69.48%,59.85%,57.05%,19328100,0
"Karsdorp, Rick",Голландия,D/WB R,AS Roma,28,34.57%,61.73%,64.33%,77.16%,58.58%,62.93%,61.11%,75.98%,62.93%,57.53%,70.22%,59.52%,56.78%,37039938,0
"Marchizza, Riccardo",Италия,D L,Frosinone,25,34.55%,77.16%,70.24%,61.73%,57.79%,57.30%,56.49%,57.30%,57.30%,50.65%,57.30%,54.50%,56.30%,43190965,0
Gelson Dala,Ангола / Португалия,"AM LC, F C",Al-Wakrah,26,31.55%,50.96%,42.23%,50.96%,50.44%,68.02%,54.87%,67.45%,73.75%,73.70%,73.03%,77.16%,69.60%,13153835,0
"Alvarez, Favio",Аргентина / Италия,AM RLC,Lanus,30,30.30%,55.13%,45.01%,55.13%,62.56%,75.47%,71.31%,74.10%,77.15%,73.97%,77.15%,71.99%,65.37%,14083974,0
"El Khannouss, Bilal",Марокко / Бельгия,AM LC,KRC Genk,19,32.07%,54.50%,46.11%,54.50%,65.07%,77.15%,71.89%,70.25%,74.77%,74.61%,71.19%,71.56%,64.90%,2000055184,0
"Barja, Kike",Испания / Португалия / Страна Басков,AM RL,Atletico Pamplona,26,31.58%,64.65%,48.06%,66.89%,54.73%,76.60%,58.11%,76.60%,77.15%,57.42%,77.15%,60.06%,55.36%,67196202,0
Chico Geraldes,Португалия,"DM, AM C",Johor DT,28,31.69%,55.08%,43.90%,55.08%,67.79%,74.91%,73.87%,72.77%,75.46%,77.14%,76.43%,62.88%,56.24%,55063378,0
Wendel,Бразилия,"DM, AM C",Zenit,25,35.32%,61.59%,52.60%,61.59%,72.62%,77.14%,76.61%,76.75%,76.75%,73.25%,76.75%,61.56%,56.87%,90072860,0
"Sivera, Antonio",Испания,GK,Alaves,26,77.14%,42.17%,42.31%,42.17%,45.10%,42.09%,45.46%,42.09%,42.09%,40.19%,42.09%,39.93%,40.32%,67186869,0
"Spertsyan, Eduard",Армения / Россия,AM C,Krasnodar,23,33.74%,58.54%,48.49%,58.54%,66.83%,71.36%,75.46%,64.28%,77.14%,77.01%,64.28%,63.63%,56.43%,58147629,0
"Canobbio, Agustin",Уругвай / Италия,AM RL,ATP,24,34.05%,59.52%,47.71%,59.52%,56.01%,74.51%,68.32%,76.30%,76.60%,70.15%,77.14%,73.89%,66.77%,78084523,0
"Sakamoto, Tatsuhiro",Япония,"WB RL, AM RLC",Coventry,26,30.03%,56.62%,41.40%,56.62%,54.18%,75.66%,57.93%,76.60%,75.66%,72.44%,77.14%,61.13%,52.49%,45116614,0
"Brunetta, Juan",Аргентина / Италия,"AM LC, F C",Tigres,26,31.98%,53.66%,43.96%,53.66%,53.02%,73.23%,67.69%,66.33%,75.63%,75.91%,71.40%,77.14%,68.25%,14182404,0
"Nunez, Unai",Испания / Страна Басков,D C,Vigo,26,33.30%,60.73%,77.13%,73.73%,58.87%,53.94%,56.59%,53.94%,53.94%,49.17%,53.94%,52.45%,55.82%,67214595,0
"Guilbert, Frederic",Франция,D/WB R,Strasbourg,28,32.87%,61.70%,55.05%,77.13%,58.65%,61.43%,59.18%,61.43%,61.43%,55.64%,61.43%,59.56%,58.67%,85096693,0
"Kerkez, Milos",Венгрия / Сербия,D/WB/M L,Bournemouth,19,33.09%,77.13%,52.49%,74.91%,58.20%,74.57%,59.02%,60.31%,72.82%,54.60%,60.31%,57.93%,54.60%,2000011147,0
"Zaragoza, Bryan",Испания,AM RL,FC Bayern,22,31.80%,55.04%,43.70%,55.04%,52.33%,75.98%,56.01%,75.65%,77.13%,72.37%,76.59%,73.92%,64.70%,2000054263,0
"Pozuelo, Alejandro",Испания,AM C,Al-Jazira (UAE),31,31.94%,55.09%,46.23%,55.09%,64.92%,70.78%,73.85%,68.17%,76.64%,77.13%,73.38%,75.98%,68.44%,67140148,0
"Woodman, Freddie",Англия,GK,Preston,26,77.12%,41.94%,44.93%,41.94%,44.03%,40.43%,41.53%,40.43%,40.43%,36.60%,40.43%,39.31%,43.80%,28091347,0
"Maripan, Guillermo",Чили,D C,AS Monaco,29,33.68%,58.29%,77.12%,58.29%,66.80%,50.40%,53.58%,50.40%,50.40%,45.07%,50.40%,48.46%,54.41%,75030680,0
"Rossi, Diego",Уругвай / США / Италия,"AM RL, ST",Columbus,25,32.11%,55.79%,41.33%,55.79%,53.62%,73.55%,58.32%,73.55%,77.12%,71.52%,75.64%,74.92%,66.77%,78074592,0
"Funes Mori, Rogelio",Мексика / Аргентина / США,ST,Pumas,32,31.92%,53.32%,51.21%,53.32%,54.46%,60.02%,56.86%,60.02%,60.02%,57.09%,60.02%,77.11%,76.90%,14023764,0
"Wahi, Elye",Франция / Кот-д'Ивуар,"AM L, ST",RC Lens,20,30.62%,53.96%,48.12%,53.96%,53.49%,68.48%,56.50%,67.58%,74.25%,57.12%,73.12%,77.11%,74.25%,49061868,0
"Turuc, Deniz",Турция / Голландия,AM RC,Basaksehir FK,30,31.12%,54.46%,44.24%,54.46%,54.37%,74.48%,71.27%,75.63%,74.48%,71.78%,77.11%,60.69%,55.17%,168236,0
"Oliveira, Sergio",Португалия,DM,Galatasaray,31,31.74%,59.84%,55.40%,59.84%,75.66%,61.19%,77.11%,61.19%,61.19%,70.31%,61.19%,60.18%,57.90%,55012099,0
Borja Garcia,Испания,AM RLC,Girona,32,33.81%,51.75%,45.71%,51.75%,52.49%,75.54%,67.60%,75.54%,77.11%,76.09%,76.83%,74.89%,68.39%,67060845,0
"Bazunu, Gavin",Ирландия / Нигерия,GK,Southampton,21,77.11%,42.58%,40.72%,42.58%,45.11%,48.11%,48.19%,48.11%,48.11%,46.19%,48.11%,46.32%,46.82%,52094936,0
"Nelsson, Victor",Дания,D C,Galatasaray,24,36.11%,59.93%,77.11%,70.33%,65.00%,50.57%,54.59%,50.57%,50.57%,45.01%,50.57%,47.60%,51.41%,27107366,0
"Diaby, Moussa",Франция / Мали,"AM RLC, F C",Aston Villa,24,31.97%,54.16%,40.48%,54.16%,51.36%,74.48%,55.85%,74.48%,76.14%,72.35%,76.68%,77.10%,66.11%,48044574,0
Dodo,Бразилия,D/WB R,Fiorentina,24,33.74%,61.68%,51.20%,77.10%,58.18%,63.54%,60.40%,76.72%,63.54%,59.02%,70.91%,61.46%,56.92%,19273277,0
"Traore, Lassina",Буркина Фасо / Кот-д'Ивуар,ST,Shakhtar,22,28.89%,50.77%,49.22%,50.77%,52.61%,57.88%,54.49%,57.88%,57.88%,55.41%,57.88%,76.04%,77.10%,13196622,0
"Toljan, Jeremy",Германия / Хорватия / США,D/WB/M R,Sassuolo,28,34.53%,74.47%,53.41%,77.10%,57.19%,60.99%,58.58%,74.78%,60.99%,55.74%,68.97%,58.14%,54.68%,92029806,0
"Leite, Diogo",Португалия,D C,Union Berlin,24,33.37%,75.10%,77.09%,62.20%,60.13%,56.73%,58.25%,56.73%,56.73%,51.65%,56.73%,54.29%,56.75%,83111536,0
"Cassierra, Mateo",Колумбия,ST,Zenit,26,30.66%,52.00%,47.91%,52.00%,52.62%,66.01%,55.19%,65.21%,71.36%,68.32%,70.37%,77.09%,75.36%,76043519,0
"Tameze, Adrien",Франция / Камерун,"D C, DM",Torino,29,34.16%,75.78%,70.33%,63.56%,76.34%,72.94%,77.08%,61.19%,67.53%,67.72%,61.19%,70.80%,69.69%,85065498,0
"Manquillo, Javi",Испания,D/WB RL,Vigo,29,36.34%,75.60%,55.90%,77.08%,57.24%,57.86%,57.18%,68.97%,57.86%,51.69%,63.86%,54.31%,53.48%,67141802,0
Kim Seung-Gyu,Южная Корея,GK,Al-Shabab,32,77.08%,41.56%,43.05%,41.56%,44.58%,46.13%,46.36%,46.13%,46.13%,44.15%,46.13%,44.64%,46.87%,66000930,0
"Rico, Sergio",Испания,GK,Paris SG,29,77.08%,41.28%,43.75%,41.28%,45.54%,43.37%,44.57%,43.37%,43.37%,41.01%,43.37%,42.04%,45.81%,67171745,0
"Gil, Bryan",Испания,AM RLC,Tottenham,22,30.34%,64.54%,41.05%,53.16%,50.51%,76.81%,54.75%,75.24%,77.08%,72.95%,75.60%,71.37%,63.09%,67260440,0
Bernard,Бразилия / Испания,AM RLC,Panathinaikos,30,30.86%,53.70%,40.31%,53.70%,52.36%,75.24%,69.88%,73.51%,77.08%,74.69%,75.93%,71.95%,62.49%,19152048,0
"Mozo, Alan",Мексика,D/WB R,Chivas,26,33.61%,61.66%,53.62%,77.07%,56.58%,59.39%,56.88%,70.80%,59.39%,53.16%,65.55%,57.57%,54.93%,51068104,0
"Gunter, Christian",Германия,D/WB L,SC Freiburg,30,31.73%,77.07%,62.55%,72.36%,57.11%,72.63%,58.25%,60.15%,72.63%,52.83%,60.15%,56.27%,54.02%,91105585,0
Deyverson,Бразилия,ST,CUI,32,34.69%,54.14%,53.41%,54.14%,55.30%,65.17%,57.03%,65.97%,70.33%,64.05%,71.32%,76.51%,77.07%,55062112,0
"Benitez, Martin",Аргентина,AM RLC,AMG,29,32.44%,53.75%,44.72%,53.75%,53.59%,70.62%,70.86%,70.62%,76.56%,77.07%,76.56%,62.91%,55.71%,14042938,0
"Augustinsson, Ludwig",Швеция,D/WB L,RSC Anderlecht,29,33.73%,77.07%,54.40%,61.65%,58.88%,59.96%,58.91%,59.96%,59.96%,54.58%,59.96%,56.59%,55.24%,93024775,0
"Lascelles, Jamaal",Англия,D C,Newcastle,29,31.84%,59.43%,77.06%,59.43%,56.68%,51.12%,53.74%,51.12%,51.12%,44.28%,51.12%,49.21%,54.90%,28059634,0
Alan Patrick,Бразилия,AM C,INT,32,34.32%,62.23%,52.81%,62.23%,72.91%,64.28%,77.06%,64.28%,64.28%,75.58%,64.28%,76.40%,69.59%,19084056,0
Unai Lopez,Испания / Страна Басков,DM,Vallecano,27,34.53%,59.68%,50.48%,59.68%,73.67%,76.08%,77.06%,76.08%,76.08%,74.37%,76.08%,63.14%,58.14%,67145056,0
"Bushchan, Heorhiy",Украина,GK,Dynamo Kyiv,29,77.06%,42.37%,46.73%,42.37%,46.30%,42.64%,45.27%,42.64%,42.64%,39.82%,42.64%,41.23%,46.84%,71049105,0
"Moder, Jakub",Польша,"DM, AM C",Brighton,24,34.07%,62.42%,57.29%,62.42%,75.84%,76.10%,77.06%,62.36%,70.23%,72.46%,62.36%,61.57%,60.12%,96086697,0
"Kiteishvili, Otar",Грузия,AM LC,SK Sturm Graz,27,31.02%,58.86%,48.73%,58.86%,60.05%,77.05%,74.71%,71.29%,76.30%,74.30%,66.46%,74.68%,68.85%,59092399,0
"Chukwueze, Samuel",Нигерия,AM RL,AC Milan,24,28.44%,56.37%,46.49%,56.37%,52.34%,75.21%,56.09%,76.51%,75.90%,69.82%,77.05%,72.04%,65.77%,67269484,0
"Sotoca, Florian",Франция,"AM RC, F C",RC Lens,32,31.32%,59.52%,53.51%,59.52%,58.60%,62.56%,61.29%,76.34%,62.56%,70.31%,77.04%,75.78%,75.80%,48032631,0
"Rensch, Devyne",Голландия / Суринам,D RLC,Ajax,20,33.46%,75.88%,67.39%,77.03%,71.27%,72.85%,72.46%,73.77%,67.44%,56.39%,68.19%,58.87%,56.46%,37073313,0
"Friedl, Marco",Австрия,D LC,SV Werder,25,33.62%,77.03%,73.99%,74.93%,70.85%,68.78%,67.76%,57.70%,67.71%,51.95%,57.70%,54.25%,55.13%,91143703,0
"Steffen, Zack",США,GK,Colorado,28,77.03%,42.49%,43.07%,42.49%,45.24%,43.28%,44.68%,43.28%,43.28%,39.96%,43.28%,41.95%,44.44%,91156033,0
"Kent, Ryan",Англия,AM RLC,Fenerbahce,26,29.41%,54.13%,41.32%,54.13%,52.04%,75.19%,56.83%,75.19%,77.03%,71.56%,76.76%,72.63%,65.13%,28094948,0
"Aguado, Alvaro",Испания,AM C,Espanyol,27,35.06%,62.13%,53.53%,62.13%,73.59%,62.76%,77.02%,62.76%,62.76%,73.01%,62.76%,61.60%,57.48%,67245476,0
"Rugani, Daniele",Италия,D C,Juventus,28,34.61%,61.98%,77.02%,70.30%,60.16%,55.47%,57.72%,55.47%,55.47%,50.17%,55.47%,53.50%,57.11%,43083931,0
Lucas Fernandes,Бразилия,AM RLC,CUI,25,31.16%,55.84%,47.64%,55.84%,54.83%,70.96%,72.48%,70.96%,77.02%,74.20%,77.02%,61.00%,56.83%,19226200,0
"Sigur?sson, Arnor",Исландия,AM RLC,Blackburn,24,33.11%,55.91%,48.92%,55.91%,64.80%,73.46%,68.58%,73.46%,77.02%,73.08%,75.54%,74.69%,69.39%,39046379,0
"Castagne, Timothy",Бельгия,D/WB/M RL,Fulham,27,33.40%,76.47%,63.93%,77.02%,57.83%,74.53%,58.63%,74.53%,68.70%,54.37%,73.08%,58.30%,55.94%,18074558,0
"Pedersen, Mads",Дания,D/WB RL,Augsburg,26,32.27%,77.01%,60.63%,75.53%,67.73%,70.00%,67.87%,69.12%,69.12%,61.89%,68.04%,54.48%,50.44%,27088224,0
"Adli, Yacine",Франция / Алжир,"DM, AM C",AC Milan,22,34.66%,62.13%,57.03%,62.13%,76.19%,73.71%,77.01%,72.56%,68.25%,71.36%,67.33%,60.95%,59.14%,48044568,0
"Neuhaus, Florian",Германия,"DM, AM C",Borussia M'gladbach,26,33.38%,60.47%,53.35%,60.47%,72.95%,75.15%,77.01%,75.15%,74.20%,73.49%,74.20%,72.35%,67.81%,91167376,0
"Giannetti, Lautaro",Аргентина / Италия,D C,Udinese,29,32.16%,59.84%,77.00%,71.34%,57.74%,52.36%,55.53%,52.36%,52.36%,47.18%,52.36%,49.81%,53.66%,14047176,0
"Veljkovic, Milos",Сербия / Швейцария,"D C, DM",SV Werder,27,35.28%,59.59%,77.00%,59.59%,72.75%,53.57%,67.51%,53.57%,53.57%,49.21%,53.57%,52.12%,55.82%,28070894,0
"Gonzalez, Carlos",Парагвай,ST,Tijuana,30,29.74%,53.44%,52.46%,53.44%,54.41%,58.72%,55.48%,58.72%,58.72%,55.35%,58.72%,75.30%,77.00%,79024554,0
"Diop, Sofiane",Марокко / Франция / Сенегал,AM RLC,OGC Nice,23,30.16%,55.27%,44.94%,55.27%,53.99%,76.45%,69.96%,75.85%,76.99%,72.32%,76.16%,60.66%,54.65%,49037827,0
"Bongonda, Theo",ДР Конго / Бельгия,AM RLC,Spartak Moscow,27,31.94%,55.23%,45.29%,55.23%,53.08%,76.16%,69.04%,76.16%,76.45%,71.28%,76.99%,74.11%,67.57%,18081111,0
"Decordova-Reid, Bobby",Ямайка / Англия,"WB R, AM RLC",Fulham,30,33.12%,58.86%,45.45%,71.46%,56.57%,70.84%,59.08%,70.40%,76.99%,70.85%,76.45%,75.04%,67.62%,28058544,0
Vitinho,Бразилия,AM RLC,Al-Shabab,29,29.51%,52.93%,42.21%,52.93%,51.18%,74.89%,56.19%,73.95%,76.99%,73.81%,76.99%,73.82%,67.27%,19162450,0
"Sylla, Morlaye",Гвинея,AM LC,Arouca,24,30.84%,58.32%,49.68%,58.32%,57.20%,75.49%,74.44%,74.54%,76.99%,74.00%,75.49%,61.96%,58.02%,13158286,0
"Radonjic, Nemanja",Сербия,AM RLC,Mallorca,27,29.35%,52.89%,45.16%,59.99%,51.30%,70.82%,55.28%,69.64%,76.98%,74.19%,75.50%,76.23%,69.79%,62124125,0
"Cullen, Josh",Ирландия / Англия,DM,Burnley,27,34.70%,64.58%,54.98%,64.58%,76.88%,60.69%,76.98%,60.69%,60.69%,55.40%,60.69%,57.06%,54.31%,28087685,0
"Moro, Nikola",Хорватия,"DM, AM C",Bologna,25,31.56%,58.97%,52.82%,58.97%,71.62%,76.79%,76.97%,76.79%,75.26%,73.55%,73.93%,61.57%,59.97%,24046418,0
"Geertruida, Lutsharel",Голландия / Нидерландские Антилы,"D RC, DM",Feyenoord,22,34.93%,75.02%,74.20%,76.97%,74.97%,71.74%,73.44%,73.05%,66.42%,55.33%,67.47%,57.76%,59.44%,37064720,0
"Healey, Rhys",Англия,ST,Huddersfield,28,32.51%,54.91%,47.90%,54.91%,54.31%,60.02%,56.90%,60.02%,60.02%,56.29%,60.02%,76.97%,73.00%,74029518,0
"Chara, Yimmi",Колумбия / США,AM RLC,Junior,32,30.75%,55.00%,46.46%,55.00%,53.82%,74.34%,56.93%,74.34%,75.49%,72.54%,76.97%,74.94%,69.14%,76014908,0
"Barnes, Harvey",Англия / Шотландия,AM RLC,Newcastle,25,29.99%,54.29%,44.10%,54.29%,52.07%,76.43%,66.43%,74.75%,76.97%,71.48%,75.49%,74.18%,68.73%,28100207,0
"Driussi, Sebastian",Аргентина / Италия / США,"AM LC, F C",Austin FC,27,30.97%,55.98%,48.61%,55.98%,53.96%,75.14%,67.96%,73.41%,76.97%,71.68%,74.75%,74.88%,70.05%,14043242,0
"Hateboer, Hans",Голландия,D/WB/M R,Atalanta,29,31.44%,61.57%,72.28%,76.96%,57.77%,57.27%,56.52%,70.52%,57.27%,49.21%,65.00%,54.68%,57.60%,37046941,0
"Tenaglia, Nahuel",Аргентина / Италия,D RC,Alaves,27,33.01%,74.33%,71.46%,76.96%,57.31%,58.08%,57.37%,58.08%,58.08%,52.03%,58.08%,55.80%,55.46%,14153906,0
"Colwill, Levi",Англия,D LC,Chelsea,20,36.52%,76.96%,75.19%,62.50%,59.64%,59.69%,59.69%,59.69%,59.69%,55.12%,59.69%,58.19%,58.51%,28124573,0
"Medran, Alvaro",Испания / США,AM C,Al-Ettifaq,29,32.97%,58.45%,48.70%,58.45%,69.79%,76.44%,76.96%,64.12%,70.77%,75.90%,64.12%,63.28%,57.66%,67179149,0
"Geiger, Dennis",Германия,DM,TSG Hoffenheim,25,34.61%,62.09%,65.35%,62.09%,76.43%,61.13%,76.96%,61.13%,61.13%,70.12%,61.13%,59.10%,55.39%,91143563,0
"Hofmann, Philipp",Германия,ST,VfL Bochum,30,27.49%,53.43%,55.75%,53.43%,55.24%,56.40%,55.27%,56.40%,56.40%,51.42%,56.40%,70.43%,76.95%,91100532,0
"Alvarado, Roberto",Мексика,AM RL,Chivas,24,33.70%,55.28%,47.53%,55.28%,52.93%,75.47%,56.02%,73.39%,76.95%,58.13%,75.47%,73.20%,67.60%,51045753,0
"Yuksek, Ismail",Турция,DM,Fenerbahce,24,31.66%,63.85%,58.75%,63.85%,76.95%,60.54%,75.52%,60.54%,60.54%,66.27%,60.54%,58.12%,58.94%,70118983,0
"McAtee, James",Англия,AM RC,Sheff Utd,20,30.08%,54.96%,44.89%,54.96%,65.28%,62.76%,71.97%,76.94%,62.76%,75.47%,76.94%,61.59%,55.70%,28126249,0
"Volland, Kevin",Германия,"AM RLC, F C",Union Berlin,30,30.58%,59.18%,55.04%,59.18%,58.83%,73.82%,72.30%,73.82%,74.96%,69.12%,75.29%,76.63%,76.94%,91014650,0
"Dragovic, Aleksandar",Австрия / Сербия,D C,Crvena zvezda,32,35.12%,72.57%,76.94%,73.91%,70.81%,56.11%,68.63%,56.11%,56.11%,51.84%,56.11%,54.94%,57.14%,16010163,0
"Bounedjah, Baghdad",Алжир,ST,Al-Sadd,31,30.80%,52.87%,51.20%,52.87%,54.22%,60.30%,57.04%,60.30%,60.30%,57.77%,60.30%,76.70%,76.93%,12042506,0
"Silva, Tiago",Португалия,AM C,VTSC,30,33.56%,59.75%,48.68%,59.75%,69.91%,63.68%,76.93%,63.68%,63.68%,74.34%,63.68%,62.06%,55.64%,55060877,0
"Patterson, Anthony",Англия,GK,Sunderland,23,76.93%,42.53%,42.88%,42.53%,46.66%,44.04%,46.06%,44.04%,44.04%,42.09%,44.04%,43.75%,45.28%,28110962,0
"Tenas, Arnau",Испания,GK,Paris SG,22,76.93%,44.23%,47.81%,44.23%,47.17%,47.91%,47.84%,47.91%,47.91%,47.50%,47.91%,47.99%,48.75%,67265794,0
"Areso, Jesus",Испания / Страна Басков,D/WB R,Atletico Pamplona,24,33.78%,61.54%,54.78%,76.93%,57.17%,59.00%,56.87%,70.33%,59.00%,52.29%,65.12%,57.12%,56.10%,67256097,0
Rogerio,Бразилия,D/WB/M L,VfL Wolfsburg,25,33.65%,76.93%,52.01%,72.23%,57.99%,76.07%,60.14%,62.05%,70.16%,57.36%,62.05%,58.80%,54.40%,19284576,0
"Svensson, Jonas",Норвегия,D/WB R,Besiktas,30,34.09%,72.23%,60.80%,76.93%,65.75%,57.65%,65.82%,69.61%,57.65%,54.11%,67.66%,54.13%,52.92%,53049626,0
"Lerager, Lukas",Дания,DM,FC Kobenhavn,30,33.78%,62.86%,61.75%,62.86%,75.79%,59.98%,76.93%,72.42%,59.98%,54.49%,66.93%,59.33%,61.94%,27054519,0
"Ndidi, Wilfred",Нигерия,DM,Leicester,26,34.88%,72.05%,72.61%,73.56%,76.01%,61.38%,76.93%,61.38%,61.38%,69.16%,61.38%,59.48%,59.81%,18091791,0
"Santamaria, Baptiste",Франция,"DM, AM C",Rennes,28,31.62%,60.75%,54.97%,60.75%,73.79%,75.30%,76.93%,75.30%,75.30%,71.96%,76.11%,60.53%,58.58%,211515,0
"Mascarell, Omar",Испания / Экв. Гвинея,DM,Mallorca,30,34.28%,62.36%,55.31%,62.36%,76.92%,60.31%,75.99%,60.31%,60.31%,67.04%,60.31%,58.36%,56.40%,67153634,0
Vinicius Araujo,Бразилия,"AM RL, ST",Imabari,30,32.99%,55.88%,49.60%,55.88%,55.00%,69.51%,57.35%,69.51%,75.36%,57.89%,75.36%,76.92%,74.41%,19189109,0
"Halstenberg, Marcel",Германия,D LC,Hannover,31,32.14%,76.92%,74.47%,73.88%,71.61%,71.63%,69.83%,60.09%,70.52%,55.01%,60.09%,56.90%,58.32%,92025552,0
"Bizot, Marco",Голландия,GK,Brest,32,76.92%,44.67%,46.56%,44.67%,47.53%,47.48%,47.52%,47.48%,47.48%,44.29%,47.48%,46.31%,49.27%,37005659,0
"Skorupski, Lukasz",Польша,GK,Bologna,32,76.92%,47.78%,45.81%,47.78%,50.58%,48.67%,50.00%,48.67%,48.67%,43.65%,48.67%,46.09%,49.39%,54009099,0
"Bouanga, Denis",Габон / Франция,"AM RL, ST",LAFC,28,32.21%,53.19%,42.94%,53.19%,51.93%,76.08%,56.23%,74.70%,76.91%,70.39%,75.44%,75.87%,68.81%,85145065,0
"Schuurs, Perr",Голландия,D C,Torino,23,35.47%,60.75%,76.91%,72.42%,70.71%,55.50%,56.79%,55.50%,55.50%,51.38%,55.50%,52.58%,56.18%,37062161,0
"Kristensen, Rasmus",Дания,D/WB/M R,AS Roma,26,30.99%,74.28%,71.20%,76.90%,69.33%,60.28%,69.25%,73.91%,60.28%,52.93%,70.74%,58.01%,59.75%,27100968,0
"Smal, Gijs",Голландия,D/WB L,FC Twente,25,35.12%,76.90%,67.39%,61.52%,69.94%,72.36%,58.81%,59.30%,69.59%,53.80%,59.30%,56.09%,55.67%,37060899,0
"Diomande, Mohamed",Кот-д'Ивуар,AM LC,Rangers,21,30.72%,52.72%,44.52%,52.72%,63.86%,75.40%,71.50%,74.45%,76.90%,74.37%,75.40%,74.41%,69.03%,13183075,0
"Gulde, Manuel",Германия,D C,SC Freiburg,32,34.61%,71.74%,76.90%,71.74%,70.28%,53.58%,66.83%,53.58%,53.58%,48.53%,53.58%,51.89%,55.14%,35017406,0
Alex Telles,Бразилия / Италия,D/WB L,Al-Nassr (KSA),30,32.03%,74.63%,53.36%,59.70%,56.43%,76.90%,58.72%,63.02%,75.13%,57.90%,63.02%,60.57%,58.05%,19162830,0
"Wharton, Adam",Англия,DM,Crystal Palace,19,31.94%,58.29%,50.14%,58.29%,71.58%,64.14%,76.90%,64.14%,64.14%,74.91%,64.14%,62.46%,57.85%,2000053516,0
"Pacho, Willian",Эквадор,D LC,Eintracht Frankfurt,21,32.62%,75.23%,76.90%,61.36%,71.37%,56.15%,57.80%,56.15%,56.15%,51.58%,56.15%,54.10%,56.40%,86075795,0
"Mavididi, Stephy",Англия / ДР Конго,AM L,Leicester,25,29.49%,53.66%,47.84%,53.66%,53.30%,75.41%,57.02%,68.64%,76.89%,68.43%,74.26%,74.83%,72.93%,28099981,0
"Von Ballmoos, David",Швейцария,GK,Young Boys,28,76.89%,38.40%,43.73%,38.40%,42.25%,38.76%,40.99%,38.76%,38.76%,35.87%,38.76%,37.59%,42.83%,98030486,0
"Hughes, Will",Англия,"DM, M RC",Crystal Palace,28,33.45%,63.13%,59.53%,63.13%,76.88%,71.83%,75.82%,73.38%,66.44%,66.09%,71.83%,57.20%,57.24%,29086005,0
"Borja, Miguel",Колумбия,ST,River,30,30.20%,52.41%,50.96%,52.41%,53.06%,59.18%,55.13%,59.18%,59.18%,56.60%,59.18%,76.70%,76.88%,76033093,0
"Carrillo, Andre",Перу,AM RLC,Al-Qadsiah,32,30.48%,54.91%,46.13%,54.91%,52.94%,72.17%,70.16%,74.66%,75.72%,69.41%,76.87%,69.28%,62.93%,77012583,0
"Chotard, Joris",Франция,DM,Montpellier,21,34.93%,62.73%,57.92%,62.73%,76.10%,61.08%,76.87%,61.08%,61.08%,56.48%,61.08%,58.30%,57.45%,49048599,0
Cho Gue-Sung,Южная Корея,ST,FC Midtjylland,25,31.53%,54.81%,54.12%,54.81%,55.13%,65.87%,55.70%,65.87%,71.32%,55.16%,71.32%,75.07%,76.86%,66044536,0
"Fujimoto, Kanya",Япония,AM RC,Gil Vicente,24,33.68%,54.41%,43.07%,54.41%,53.96%,68.10%,72.63%,70.75%,73.56%,74.24%,76.86%,59.19%,52.58%,45109737,0
"Frey, Michael",Швейцария,ST,QPR,28,29.38%,56.29%,56.58%,56.29%,57.33%,56.96%,56.92%,56.96%,56.96%,63.54%,56.96%,72.29%,76.86%,98017540,0
"Labrovic, Nediljko",Хорватия,GK,Rijeka,23,76.85%,40.08%,43.77%,40.08%,41.82%,38.69%,39.62%,38.69%,38.69%,33.58%,38.69%,36.74%,42.63%,24060250,0
"Vetlesen, Hugo",Норвегия / Франция,AM C,Club Brugge,23,35.91%,61.00%,48.86%,61.00%,70.54%,75.89%,76.78%,75.89%,76.85%,73.86%,76.39%,62.23%,55.61%,53146811,0
"Barak, Antonin",Чехия,AM C,Fiorentina,28,30.43%,59.16%,55.07%,59.16%,71.21%,76.41%,76.62%,76.41%,75.22%,75.87%,75.22%,76.85%,76.26%,25040431,0
"Romero, Ivan",Испания,"AM RL, ST",Levante,22,30.40%,53.82%,46.41%,53.82%,52.29%,68.39%,55.46%,68.89%,74.14%,69.91%,74.78%,76.85%,71.65%,67295596,0
